Id,Papiers,Couleur,Boite,Energie,Moteur,Finition,Modèle,Marque,Kilométrage,Année,Prix
37210649,Carte grise / safia,Gris Champagne,Manuelle,Diesel,1.5 DCI 90ch,Stepway,Sandero,Dacia,115000km,2019,308 Millions Offert
37275099,Carte grise / safia,Blanc,Manuelle,Essence,1.2 ess 16V 75ch,ambiance,Sandero,Dacia,106000km,2014,260 Millions Négociable
37275099,Carte grise / safia,Blanc,Manuelle,Essence,1.2 ess 16V 75ch,ambiance,Sandero,Dacia,106000km,2014,260 Millions Négociable
37278873,Carte grise / safia,Gris,Manuelle,Diesel,1.5 DCI 90ch,Stepway,Sandero,Dacia,169000km,2017,275 Millions Offert
37279447,Carte grise / safia,Bleu Nuit,Manuelle,Diesel,1.5 DCI 75ch,Stepway PRIVILEGE,Sandero,Dacia,117000km,2018,285 Millions Offert
37196677,Carte grise / safia,Noir,Manuelle,Diesel,1.5 DCI 75ch,step wey,Sandero,Dacia,133000km,2017,287 Millions Offert
37279337,Carte grise / safia,Bleu Gauloise,Manuelle,Diesel,1.5 DCI 75ch,Sandero,Sandero,Dacia,115700km,2017,280 Millions Négociable
37276767,Carte grise / safia,Autre,Manuelle,Diesel,1.5 DCI 75ch,Stepway,Sandero,Dacia,123000km,2019,285 Millions Offert
37270461,Carte grise / safia,Gris Argent,Manuelle,Essence,1.6 MPI 90ch,Stepway,Sandero,Dacia,198km,2016,270 Millions Négociable
37275963,Carte grise / safia,Noir,Manuelle,Essence,1.2 ess 16V 75ch,Sandero,Sandero,Dacia,153000km,2015,232 Millions Offert
32299187,Carte grise / safia,Gris Argent,Manuelle,Diesel,1.2 ess 16V 75ch,TECHR,Sandero,Dacia,29000km,2021,380 Millions Offert
37216835,Carte grise / safia,Gris,Manuelle,GPL,1.2 ess 16V 75ch,Stepway,Sandero,Dacia,47000km,2022,353 Millions Offert
37183233,Carte grise / safia,Gris Souris,Manuelle,Essence,1.6 MPI 90ch,Stepway,Sandero,Dacia,132000km,2017,270 Millions Fixe
37266385,Carte grise / safia,Gris Souris,Manuelle,Diesel,1.5 DCI 90ch,Stepway PRIVILEGE,Sandero,Dacia,55000km,2021,343 Millions Offert
36993179,Carte grise / safia,Noir,Manuelle,GPL,1.6 ess 90ch,Stepway,Sandero,Dacia,209000km,2016,245 Millions Négociable
36993179,Carte grise / safia,Noir,Manuelle,GPL,1.6 ess 90ch,Stepway,Sandero,Dacia,209000km,2016,245 Millions Négociable
36657179,Carte grise / safia,Gris Souris,Manuelle,GPL,1.6 ess 4X2 105ch,Laureate,Duster,Dacia,136000km,2016,315 Millions Fixe
37149463,Carte grise / safia,Bleu Gauloise,Manuelle,Diesel,1.5 DCI 90ch,Stepway,Sandero,Dacia,00km,2023,415 Millions Fixe
37149463,Carte grise / safia,Bleu Gauloise,Manuelle,Diesel,1.5 DCI 90ch,Stepway,Sandero,Dacia,00km,2023,415 Millions Fixe
37259413,Carte grise / safia,Noir,Manuelle,GPL,1.2 ess 16V 75ch,Laureate,Sandero,Dacia,299800km,2015,200 Millions Offert
